"Category","Complaint"
"Savings and Deposit Accounts","I was not informed when my CD account matured."
"Savings and Deposit Accounts","The bank charges for transferring money from my savings to checking account."
"Savings and Deposit Accounts","Why was I charged a low balance fee?"
"Retirement Accounts","I can't update my beneficiaries for the retirement account online."
"Retirement Accounts","I have been getting incorrect statements for my retirement account."
"Retirement Accounts","The fees for managing the retirement account are not transparent."
"Insurance Services","The renewal process for my insurance policy is cumbersome."
"Insurance Services","I was sold an insurance policy with features I didn't need."
"Insurance Services","My health insurance claim was unfairly denied."
"Additional Services","Your bank's website is slow and often unresponsive."
"Additional Services","The process to obtain a cashier's check is too complicated."
"Additional Services","I had to wait a long time to get service at your branch."
"General Banking Services","The bank suddenly closed my account without notice."
"General Banking Services","I received someone else's account statement by mail."
"General Banking Services","I can't update my contact information in the bank's records."
"Credit Cards","Why am I being charged an annual fee for a 'no annual fee' credit card?"
"Credit Cards","I am having issues setting up automatic payments for my credit card."
"Credit Cards","My request for a credit limit increase was unfairly denied."
"Loans and Mortgages","My loan payment was applied to the wrong account."
"Loans and Mortgages","I didn't receive a statement for my home loan this month."
"Loans and Mortgages","Why do I have to pay a pre-closure fee for my loan?"
"Investment Services","I am unable to withdraw my investment."
"Investment Services","The promised returns on my investments are not accurate."
"Investment Services","Your investment advice led to a significant loss."
"Online and Mobile Banking","My e-statements have not been delivered for months."
"Online and Mobile Banking","There is a discrepancy in my account balance as shown in the mobile app."
"Online and Mobile Banking","Your mobile app logged me out while I was in the middle of a transaction."
"Business Banking","The information on how to apply for a business credit card is unclear."
"Business Banking","I was not able to access the business account during a critical time."
"Business Banking","Your bank made an unauthorized transaction from my business account."
"Customer Service","The queue for customer service at the branch was too long."
"Customer Service","Your customer service agent gave me wrong information about loan rates."
"Customer Service","I have been transferred to multiple departments but my issue is still not resolved."
"International Banking","My forex card was not accepted during my travel."
"International Banking","Your bank charged me twice for the same international transaction."
"International Banking","Why is there a limit on how much foreign currency I can buy?"
"Fraud and Security","My debit card was used fraudulently and I can't get through to the helpline."
"Fraud and Security","Why wasn't I informed about the change in security protocols?"
"Fraud and Security","Your security questions for account recovery are too easy to guess."
"Savings and Deposit Accounts","My direct deposit was not set up correctly."
"Savings and Deposit Accounts","I can't set up multiple savings goals in my account."
"Savings and Deposit Accounts","I was not able to withdraw funds due to a system glitch."
"Retirement Accounts","The tax benefits of the retirement accounts are not clearly explained."
"Retirement Accounts","I can't change my retirement account type."
"Retirement Accounts","Why am I not able to borrow against my 401(k)?"
"Insurance Services","I did not receive the policy documents for my insurance."
"Insurance Services","The deductible for my insurance policy is too high."
"Insurance Services","I have not received a response to my query about insurance coverage."
"Additional Services","The bank did not honor my stop payment request."
"Additional Services","Why do I have to pay for getting a paper statement?"
"Additional Services","The information about notary services on your website is outdated."
